,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
1218,0,0,4,0.0,176,9,9,19,391,19,15,19,15,669,560,0,0,0,0.4,0.0,0.0,0.8,0.09382784400000001,0.169906542,0
1219,0,0,1,0.0,73,54,53,138,10,204,84,204,84,4990,2099,0,0,0,0.6,0.4,0.0,0.0,0.889543176,0.235612214,1
1220,2,3,5,12.0,63,2,2,0,0,5,0,5,0,108,0,1,0,0,0.409090909,0.090909091,0.13636363599999998,0.363636364,0.685036898,0.198291942,0
1221,0,8,4,46.25,64,1,1,14,1,4,0,4,0,185,0,0,0,0,4.8,0.8,0.0,1.6,0.521588564,0.08777658599999999,1
1222,0,1,3,4.0,13,0,0,0,0,14,0,14,0,418,0,0,0,4,0.4,0.0,0.2,1.6,0.9164119359999999,0.076894395,0
1223,0,4,2,20.5,153,1,1,10,29,6,0,6,0,147,0,0,0,0,2.0,0.2,0.0,0.8,0.689134479,0.036252182,1
1224,0,0,4,0.0,236,0,0,0,26,13,1,13,1,317,21,1,0,0,0.8,0.0,0.0,0.2,0.291731656,0.256362408,1
1225,1,1,5,115.0,80,0,0,0,8,21,10,21,10,935,394,1,0,5,1.466666667,0.066666667,0.0,0.133333333,0.557067215,0.49500677,1
1226,0,7,4,27.0,48,0,0,0,0,1,1,1,1,32,32,0,0,0,3.4,1.2,0.0,1.4,0.588300884,0.025711562,0
1227,1,4,8,13.5,70,0,0,0,0,29,8,29,8,788,307,1,0,0,1.8666666669999998,0.26666666699999997,0.0,0.26666666699999997,0.036584496,0.2362234,0
1228,1,3,4,39.0,104,13,13,0,0,48,4,48,4,1301,120,3,0,0,1.0,0.0,0.0,0.2,0.11764928699999999,0.0053197240000000005,0
1229,1,1,5,8.0,128,7,7,0,0,98,16,98,16,3041,600,2,0,0,0.6,0.0,0.0,0.133333333,0.6947193740000001,0.008349959,1
1230,1,6,5,16.16666667,255,0,0,0,0,1,0,1,0,66,0,2,0,26,1.466666667,0.0,0.2,1.266666667,0.096734852,0.969560623,0
1231,2,4,7,29.5,90,1,1,0,0,10,3,10,3,443,107,0,0,0,1.363636364,0.13636363599999998,0.045454545,0.318181818,0.061802565999999996,0.10068356199999999,0
1232,0,8,8,55.5,55,0,0,0,1,6,2,6,2,127,35,1,0,0,6.2,3.4,0.2,1.8,0.097637653,0.18795535,0
1233,0,8,4,30.875,89,0,0,0,11,5,0,4,0,222,0,0,0,0,3.4,1.0,0.4,2.2,0.146138161,0.409630179,0
1234,1,3,5,21.33333333,108,0,0,0,0,33,17,33,17,963,503,4,0,2,0.8,0.133333333,0.0,0.2,0.037690401,0.004136189,0
1235,1,1,5,18.0,139,0,0,0,0,26,4,26,4,872,149,4,1,3,0.666666667,0.0,0.0,0.26666666699999997,0.300736248,0.96970129,0
1236,0,2,4,53.5,84,23,23,0,0,42,7,42,7,1644,236,1,0,0,1.4,0.0,0.2,1.6,0.15260601,0.014833748999999999,0
1237,0,0,4,0.0,320,0,0,0,8,5,1,5,1,125,26,0,0,0,1.0,0.0,0.0,0.2,0.849617422,0.21571394800000002,1
1238,0,1,5,115.0,51,0,0,12,0,10,2,10,2,318,90,0,0,2,0.6,0.0,0.0,0.8,0.801744282,0.327198386,0
1239,0,0,2,0.0,87,0,0,35,0,10,1,10,1,387,15,0,0,0,0.4,0.0,0.0,0.2,0.9012435670000001,0.108368911,1
